Voltage (V),Current (Α),Pulse on time (μs),Pulse Off time (μs),MRR (g/min),EWR (g/min),SR (μm),Power(Watt),Energy Consumption (J)
70,8,10,7,0.23,0.003,11.558,560,9.52
60,12,8,9,0.473,0.007,14.717,720,12.24
60,12,8,9,0.441,0.005,14.867,720,12.24
70,8,6,7,0.0789,0.004,7.647,560,7.28
50,8,6,11,0.5075,0.0004,6.245,400,6.8
50,16,10,7,0.2574,0.0115,14.514,800,13.6
60,12,10,9,0.6162,0.007,13.608,720,13.68
70,16,6,11,0.086,0.004,10.168,1120,19.04
60,12,8,9,0.4731,0.006,10.325,720,12.24
60,12,8,9,0.4482,0.008,15.851,720,12.24
70,8,6,11,0.4272,0.0004,9.04,560,9.52
70,16,10,11,0.616,0.0117,14.514,1120,23.52
60,12,8,9,0.4623,0.017,16.24,720,12.24
60,16,8,9,0.5707,0.0101,11.728,960,16.32
60,12,8,9,0.4572,0.007,12.485,720,12.24
50,16,6,7,0.2193,0.008,10.008,800,10.4
60,12,8,7,0.322,0.008,12.512,720,10.8
50,8,6,7,0.099,0.0042,6.301,400,5.2
70,16,6,7,0.3206,0.0105,9.577,1120,14.56
50,12,8,9,0.205,0.0076,12.629,600,10.2
50,8,10,11,1.051,0.0043,10.389,400,8.4
60,12,8,11,0.6305,0.0057,12.196,720,13.68
60,12,6,9,0.34,0.0044,7.545,720,10.8
50,16,6,11,0.0448,0.003,6.753,800,13.6
50,8,10,7,0.2004,0.0039,13.289,400,6.8
60,8,8,9,0.7129,0.0041,9.149,480,8.16
70,12,8,9,0.2412,0.0085,18.214,840,14.28
50,16,10,11,0.525,0.0107,16.758,800,16.8
70,16,10,7,0.4086,0.0133,14.814,1120,19.04
70,8,10,11,1.0208,0.0036,14.322,560,11.76
